PID,Name of Project,Description,Sponsor-Full,Sponsor-Abb,System,WaterManagement,SoilNutrientandLandManagem,GeneticResources,EnergyManagement,OtherThematicAreas,org_type,ImplementingAgencies,Region,District,Community,Status,Year Approved,Year Completed,Link,CSA Technology,Contact Person,Contact Number,Commodity/Livestock,Beneficiaries,subcategory,Agro-ecological suitability of practices (e.g. drought-tolerant varieties),"If Yes, How?",Soil fertility management techniques suited to soil types ,"If Yes, How?.1",Climate forecasting and early warning systems,"If Yes, How?.2",Access to input and output markets ,"If Yes, How?.3",Financial capital/credit availability,"If Yes, How?.4","Rural infrastructure (roads, irrigation, electricity)","If Yes, How?.5",Education/training programs building farmer skills,"If Yes, How?.6",Community cooperative models for resources/labor sharing,"If Yes, How?.7"
P035,Resilience Against Climate Change (REACH): Sustainable Development through Climate Resilient Agricultural Production and Planning Systems,"Aims to address the increasing effects of climate change on the agricultural sector in Northern Ghana, with a particular focus on smallholder farmers","European Union, German Federal Ministry for Economic Cooperation and Development","EU, BMZ",Crop production,Yes ,Yes ,,,Yes-Conservation Agriculture and Agroforestry,ngo,,Northern Region,"All 11 districts in the Upper West Region, Mamprugu Moagduri in the North East Region, and Sawla-Tuna-Kalba and North Gonja in the Savannah Region",,,2018,,,,,,,"1800 smallholder farmers, 38 extension agents",Farming System,,,,,,,,,,,,,,,,
P035,Resilience Against Climate Change (REACH): Sustainable Development through Climate Resilient Agricultural Production and Planning Systems,"Aims to address the increasing effects of climate change on the agricultural sector in Northern Ghana, with a particular focus on smallholder farmers","European Union, German Federal Ministry for Economic Cooperation and Development","EU, BMZ",Crop production,Yes ,Yes ,,,Yes-Conservation Agriculture and Agroforestry,ngo,,Savannah Region,"All 11 districts in the Upper West Region, Mamprugu Moagduri in the North East Region, and Sawla-Tuna-Kalba and North Gonja in the Savannah Region",,,2018,,,,,,,"1800 smallholder farmers, 38 extension agents",Farming System,,,,,,,,,,,,,,,,
P036,Market-Oriented Agriculture Programme (MOAP-NW),Reinvigorate the agriculture sector by improving the quality and sustainability of the production in the Upper West Region and 3 districts of Northern Region.,"German Federal Ministry for Economic Cooperation and Development, Bill and Melinda Gates Foundation",BMZ,Crop production,,Yes,,,,government,MOFA,Upper West Region,"Daffiama-Bussie-Issa, North Gonja, Sawla-Tuna-Kalba, Mampurugu Moagduri, Jirapa","Fian, Sabuli",Completed,2017,2024,https://www.giz.de/en/worldwide/19450.html,,,,"rice, sorghum, groundnut, soybean, vegetable, mango, and cashew","Farmers, Extension Agents, District Planning and Coordinating Unit ",Farming System,,,,,,,,,,,,,,,,
P036,Market-Oriented Agriculture Programme (MOAP-NW),Reinvigorate the agriculture sector by improving the quality and sustainability of the production in the Upper West Region and 3 districts of Northern Region.,"German Federal Ministry for Economic Cooperation and Development, Bill and Melinda Gates Foundation",BMZ,Crop production,,Yes,,,,government,MOFA,Savannah Region,"Daffiama-Bussie-Issa, North Gonja, Sawla-Tuna-Kalba, Mampurugu Moagduri, Jirapa","Fian, Sabuli",Completed,2017,2024,https://www.giz.de/en/worldwide/19450.html,,,,"rice, sorghum, groundnut, soybean, vegetable, mango, and cashew","Farmers, Extension Agents, District Planning and Coordinating Unit ",Farming System,,,,,,,,,,,,,,,,
P036,Market-Oriented Agriculture Programme (MOAP-NW),Reinvigorate the agriculture sector by improving the quality and sustainability of the production in the Upper West Region and 3 districts of Northern Region.,"German Federal Ministry for Economic Cooperation and Development, Bill and Melinda Gates Foundation",BMZ,Crop production,,Yes,,,,government,MOFA,North East Region,"Daffiama-Bussie-Issa, North Gonja, Sawla-Tuna-Kalba, Mampurugu Moagduri, Jirapa","Fian, Sabuli",Completed,2017,2024,https://www.giz.de/en/worldwide/19450.html,,,,"rice, sorghum, groundnut, soybean, vegetable, mango, and cashew","Farmers, Extension Agents, District Planning and Coordinating Unit ",Farming System,,,,,,,,,,,,,,,,
P037,The Competitive Cashew initiative (ComCashew) ,Support to production of improved planting material and development of cashew demonstration plots using Climate-Smart Agriculture,,,Crop production,,Yes ,,,,government,MOFA,Brong Ahafo,,,,,,https://www.comcashew.org/downloads,,Florian Winckler and Nunana Addo,nunana.addo@giz.de,Cashew,,,,,,,,,,,,,,,,,,
P037,The Competitive Cashew initiative (ComCashew) ,Support to production of improved planting material and development of cashew demonstration plots using Climate-Smart Agriculture,,,Crop production,,Yes ,,,,government,MOFA,Ashanti Region,,,,,,https://www.comcashew.org/downloads,,Florian Winckler and Nunana Addo,nunana.addo@giz.de,Cashew,,,,,,,,,,,,,,,,,,
P037,The Competitive Cashew initiative (ComCashew) ,Support to production of improved planting material and development of cashew demonstration plots using Climate-Smart Agriculture,,,Crop production,,Yes ,,,,government,MOFA,Northern Region,,,,,,https://www.comcashew.org/downloads,,Florian Winckler and Nunana Addo,nunana.addo@giz.de,Cashew,,,,,,,,,,,,,,,,,,
P037,The Competitive Cashew initiative (ComCashew) ,Support to production of improved planting material and development of cashew demonstration plots using Climate-Smart Agriculture,,,Crop production,,Yes ,,,,government,MOFA,Eastern Region,,,,,,https://www.comcashew.org/downloads,,Florian Winckler and Nunana Addo,nunana.addo@giz.de,Cashew,,,,,,,,,,,,,,,,,,
P037,The Competitive Cashew initiative (ComCashew) ,Support to production of improved planting material and development of cashew demonstration plots using Climate-Smart Agriculture,,,Crop production,,Yes ,,,,government,MOFA,Volta Region,,,,,,https://www.comcashew.org/downloads,,Florian Winckler and Nunana Addo,nunana.addo@giz.de,Cashew,,,,,,,,,,,,,,,,,,
P037,The Competitive Cashew initiative (ComCashew) ,Support to production of improved planting material and development of cashew demonstration plots using Climate-Smart Agriculture,,,Crop production,,Yes ,,,,government,MOFA,Central Region,,,,,,https://www.comcashew.org/downloads,,Florian Winckler and Nunana Addo,nunana.addo@giz.de,Cashew,,,,,,,,,,,,,,,,,,
P037,The Competitive Cashew initiative (ComCashew) ,Support to production of improved planting material and development of cashew demonstration plots using Climate-Smart Agriculture,,,Crop production,,Yes ,,,,government,MOFA,Upper East Region,,,,,,https://www.comcashew.org/downloads,,Florian Winckler and Nunana Addo,nunana.addo@giz.de,Cashew,,,,,,,,,,,,,,,,,,
P038,Market-Oriented Value Chains for Jobs & Growth in the ECOWAS Region (MOVE),Build more sustainable rice & cashew sectors,,,Crop production,,Yes ,,,,ngo,,,,,on going,2022,,https://www.giz.de/en/worldwide/108524.html,"soil and water management, ","Rita Weidinger, Florian Winckler","rita.weidinger@giz.de,  florian.winckler@giz.de",Cashew,,,,,,,,,,,,,,,,,,
P039,Competitive African Rice Initiative (CARI),Significantly improve the livelihoods of smallholder rice farmers and their families by increasing the quality and quantity of domestic rice,"German Federal Ministry for Economic Cooperation and Development, Bill and Melinda Gates Foundation",BMZ,Rice production,Yes,Yes ,,,,ngo,"GIZ, John A. Kufuor Foundation, Technoserve (TNS)",,,,Completed,2013,2021,,,,,,"891,000 direct and indirect beneficiaries",,Yes,"Weather alerts, seed selection and adoption",No,,Yes,Weather Alert APP,Yes," SMS-based solution
that provides access to credit",No,,No,,Yes,Training,Yes,
P040,Resiliency in Northern Ghana (RING) Project,"Aims to improve the lives of women, namely by increasing their control over household income and increasing their social capital, resulting in more resilient families and improved nutrition for women and children",,,Crop production,Yes ,Yes ,,,,government,MMDAs and seven departments of the Northern Regional Coordinating Council (NRCC,Northern Region,All 17 districts,"Chereponi, Gushegu, Tamale, Begu, Cheshegu, Diare, Zaazi Kukuo, Wovogumah, Kunbungu, Kpandai, Saboba, Savelugu",Completed,2014,2019,https://www.globalwaters.org/HowWeWork/Activities/resiliency-northern-ghana,,,,,,,,,,,,,,,,,,,,,,
P041,USAID’s Economic Growth program,"Through the Feed the Future initiative, USAID helps Ghana achieve self-reliance by enhancing agricultural productivity and profitability, strengthening competitive market systems, increasing access to finance, 
promoting resilience, optimizing economic inclusion, advancing leadership, and improving nutrition.",,,,,,,,,ngo,,Northern Region,,,,,,https://www.usaid.gov/sites/default/files/2023-09/USAID-Ghana-Economic-Growth-Fact-Sheet-230705.pdf,,,,,,,,,,,,,,,,,,,,,,
P042,Sustainable Fisheries Management Project (SFMP),Rebuild marine fisheries stocks and catches through adoption of responsible fishing practices.,,,Fish production,Yes,,,,"Yes-Rebuilding marine fish stock, climate change, capacity building",government," Coastal Resources Center,Ministry of Fisheries and Aquaculture Development and the Fisheries Commission,Rhode Island’s Graduate School of Oceanography, SNV Netherlands Development Organization",Greater Accra,"Accra Metro. Ahanta West, Cape coast, Dangbe East/West, Efutu municipal. Ellembelle, Ga south, Gomoa east/west, jomoro, Keta, Ketu south, Komenda, Nzema east, Tema Municipal, Sekondi Takoradi.","Keta, Ada Foah, Tema, Winneba, Saltpond, Sekondi/ Tarkoradi, Half Assini. Elmina, Apam, Denu",Completed,2014,2021,https://www.crc.uri.edu/download/GH2014_PGM357_CRC_FIN508.pdf,,,"USAID/Ghana Sustainable Fisheries Management Project Coastal Resources Center Graduate School of Oceanography University of Rhode Island 220 South Ferry Rd. Narragansett, RI 02882 USA Tel: 401-874-6224 Fax: 401-874-6920 Email: info@crc.uri.edu",FISH,men and women in the artisanal canoe fishery who rely on the fishery as their main livelihood,,,,,,,,,,,,,,,,,
P042,Sustainable Fisheries Management Project (SFMP),Rebuild marine fisheries stocks and catches through adoption of responsible fishing practices.,,,Fish production,Yes,,,,"Yes-Rebuilding marine fish stock, climate change, capacity building",government," Coastal Resources Center,Ministry of Fisheries and Aquaculture Development and the Fisheries Commission,Rhode Island’s Graduate School of Oceanography, SNV Netherlands Development Organization",Western Region,"Accra Metro. Ahanta West, Cape coast, Dangbe East/West, Efutu municipal. Ellembelle, Ga south, Gomoa east/west, jomoro, Keta, Ketu south, Komenda, Nzema east, Tema Municipal, Sekondi Takoradi.","Keta, Ada Foah, Tema, Winneba, Saltpond, Sekondi/ Tarkoradi, Half Assini. Elmina, Apam, Denu",Completed,2014,2021,https://www.crc.uri.edu/download/GH2014_PGM357_CRC_FIN508.pdf,,,"USAID/Ghana Sustainable Fisheries Management Project Coastal Resources Center Graduate School of Oceanography University of Rhode Island 220 South Ferry Rd. Narragansett, RI 02882 USA Tel: 401-874-6224 Fax: 401-874-6920 Email: info@crc.uri.edu",FISH,men and women in the artisanal canoe fishery who rely on the fishery as their main livelihood,,,,,,,,,,,,,,,,,
P042,Sustainable Fisheries Management Project (SFMP),Rebuild marine fisheries stocks and catches through adoption of responsible fishing practices.,,,Fish production,Yes,,,,"Yes-Rebuilding marine fish stock, climate change, capacity building",government," Coastal Resources Center,Ministry of Fisheries and Aquaculture Development and the Fisheries Commission,Rhode Island’s Graduate School of Oceanography, SNV Netherlands Development Organization",Central Region,"Accra Metro. Ahanta West, Cape coast, Dangbe East/West, Efutu municipal. Ellembelle, Ga south, Gomoa east/west, jomoro, Keta, Ketu south, Komenda, Nzema east, Tema Municipal, Sekondi Takoradi.","Keta, Ada Foah, Tema, Winneba, Saltpond, Sekondi/ Tarkoradi, Half Assini. Elmina, Apam, Denu",Completed,2014,2021,https://www.crc.uri.edu/download/GH2014_PGM357_CRC_FIN508.pdf,,,"USAID/Ghana Sustainable Fisheries Management Project Coastal Resources Center Graduate School of Oceanography University of Rhode Island 220 South Ferry Rd. Narragansett, RI 02882 USA Tel: 401-874-6224 Fax: 401-874-6920 Email: info@crc.uri.edu",FISH,men and women in the artisanal canoe fishery who rely on the fishery as their main livelihood,,,,,,,,,,,,,,,,,
P042,Sustainable Fisheries Management Project (SFMP),Rebuild marine fisheries stocks and catches through adoption of responsible fishing practices.,,,Fish production,Yes,,,,"Yes-Rebuilding marine fish stock, climate change, capacity building",government," Coastal Resources Center,Ministry of Fisheries and Aquaculture Development and the Fisheries Commission,Rhode Island’s Graduate School of Oceanography, SNV Netherlands Development Organization",Volta Region,"Accra Metro. Ahanta West, Cape coast, Dangbe East/West, Efutu municipal. Ellembelle, Ga south, Gomoa east/west, jomoro, Keta, Ketu south, Komenda, Nzema east, Tema Municipal, Sekondi Takoradi.","Keta, Ada Foah, Tema, Winneba, Saltpond, Sekondi/ Tarkoradi, Half Assini. Elmina, Apam, Denu",Completed,2014,2021,https://www.crc.uri.edu/download/GH2014_PGM357_CRC_FIN508.pdf,,,"USAID/Ghana Sustainable Fisheries Management Project Coastal Resources Center Graduate School of Oceanography University of Rhode Island 220 South Ferry Rd. Narragansett, RI 02882 USA Tel: 401-874-6224 Fax: 401-874-6920 Email: info@crc.uri.edu",FISH,men and women in the artisanal canoe fishery who rely on the fishery as their main livelihood,,,,,,,,,,,,,,,,,
P043,The Integrated Coastal & Fisheries Governance Initiative (ICFG),"Support the government of Ghana in achieving its development objectives of poverty reduction, food security, sustainable fisheries management and biodiversity conservation. ",,,Aquaculture,Yes ,No,No,No,Yes-FISHERIES,government,"USAID, GLOBAL WATERS, COASTAL RESOURCES CENTER",,,,Completed,2009,2014,https://www.globalwaters.org/HowWeWork/Activities/integrated-coastal-fisheries-governance-initiative,,NIL,NIL,FISH,producer and community based organizations ,,,,,,,,,,,,,,,,,
P044,Sustainable Coastal Communities and Ecosystems – Ghana (SUCCESS-Ghana),"SUCCESS promoted reform in the policy and practice of nearshore fisheries upon which so many coastal communities in developing countries depend, but which unless better managed are in rapid decline as a food source; and by introducing alternative food sources such as low impact marine agriculture options. SUCCESS also helped identify and share lessons learned about livelihoods strategies that can help reduce poverty in communities—by providing food and income—but through an approach that also sustains and promotes the health of the biodiversity-rich resources upon which this very food and income depends. It also helped best practices that “support” policies that should be in place, whether those are policies and laws focused on a reformed sustainable fisheries and/or policies that recognize and mainstream considerations of the impacts from climate change.",,,Aquaculture,Yes ,No,No,Yes,,government,COASTAL RESOURCES CENTER,COASTAL COMMUNITIES,,,Completed,2004,2014,Sustainable Coastal Communities and Ecosystems – Ghana | Globalwaters.org,,NIL,NIL,FISH,"4,359 persons",,,,,,,,,,,,,,,,,
P045,Power to the Fishers: Empowering fishing communities," The overall objective of the project is to enhance the socio-economic livelihoods of fishing communities within selected districts of the coastal savannah zones of Ghana.
This initiative aims at directly targeting 80,000 fish value chain actors mainly fishmongers and fishermen.",,,Aquaculture,Yes ,Yes ,No,Yes,,ngo,CERATH DEVELOPMENT ORGANIZATION,Central Region,"AWUTU SENYA EAST, EFFUTU MUNICIPAL, EKUMFI, GOMOA WEST, SHAMA",, ,2019,2023,https://www.eeas.europa.eu/sites/default/files/documents/2023/12.%20Sustainable%20Development_Power%20to%20Fishers.pdf,,Paa Kofi Osei-Owusu – Director West Africa,info@cerathdev.org,FISH,"80,000 fish
value chain actors mainly fishmongers and
fishermen.",,,,,,,,,,,,,,,,,
P045,Power to the Fishers: Empowering fishing communities," The overall objective of the project is to enhance the socio-economic livelihoods of fishing communities within selected districts of the coastal savannah zones of Ghana.
This initiative aims at directly targeting 80,000 fish value chain actors mainly fishmongers and fishermen.",,,Aquaculture,Yes ,Yes ,No,Yes,,ngo,CERATH DEVELOPMENT ORGANIZATION,Western Region,"AWUTU SENYA EAST, EFFUTU MUNICIPAL, EKUMFI, GOMOA WEST, SHAMA",, ,2019,2023,https://www.eeas.europa.eu/sites/default/files/documents/2023/12.%20Sustainable%20Development_Power%20to%20Fishers.pdf,,Paa Kofi Osei-Owusu – Director West Africa,info@cerathdev.org,FISH,"80,000 fish
value chain actors mainly fishmongers and
fishermen.",,,,,,,,,,,,,,,,,
P046,Banana Accompanying Measures (BAM) for Ghana,"The project is focused on improving the competitiveness of the banana export industry in the face of the tariff preference erosion in the EU market, while ensuring its environmental and socio-economic sustainability in the long run.",,,Crop Production ,No,Yes ,No,Yes,,ngo,"GOLDEN EXOTIC LIMITED, VOLTA RIVER ESTATES LTD",Greater Accra,KASUNJA,,Completed,2013,2020,https://www.eeas.europa.eu/sites/default/files/documents/2023/33.%20Growth_BANANA%20PROJECT.pdf,,NIL,g.kporye@gelgh.com; huubvandenbroek@voltariver.com,Banana,banana workers and their families;,,,,,,,,,,,,,,,,,
P047,Reversing Land Degradation in Africa by Scaling-up Evergreen Agriculture Project,"Acute and prolonged dry seasons catalyzed by overgrazing, rampant bush burning, and indiscriminate felling of trees for charcoal, are challenges of savannah areas in Ghana. The Regreening Africa 5 years project seeks to reverse land degradation among 40,000 households and across 90,000 hectares in Garu Tempane, Bawku West and Mion Districts in the Northern and Upper East regions of Ghana. By incorporating trees into croplands, communal lands and pastoral areas, it will be possible to contribute to the recovery of Ghana’s degraded landscapes.",,,,No,Yes ,No,Yes,,ngo,WORLD VISION GHANA,Northern Region,"GARU TEMPANE, BAWKU WEST AND MION",,Completed,2017,2022,Evergreen Inception Report_25June.pdf (worldagroforestry.org),Land management ,"Project Manager, World Vision Ghana - Edward Akunyagra",Edward_Akunyagra@wvi.org,TREES/ LAND,GHANA,,,,Yes,"Increasing the tree coverage and better management of the project area: 90,000 hectares of land.  Providing new tree crops and promoting evergreen agricultures practices to smallholder farmers, ",,,,,,,,,Yes,"Training project stakeholders to acquire new knowledge, skills, tools and resources to effectively promote regreening practices.",,
P047,Reversing Land Degradation in Africa by Scaling-up Evergreen Agriculture Project,"Acute and prolonged dry seasons catalyzed by overgrazing, rampant bush burning, and indiscriminate felling of trees for charcoal, are challenges of savannah areas in Ghana. The Regreening Africa 5 years project seeks to reverse land degradation among 40,000 households and across 90,000 hectares in Garu Tempane, Bawku West and Mion Districts in the Northern and Upper East regions of Ghana. By incorporating trees into croplands, communal lands and pastoral areas, it will be possible to contribute to the recovery of Ghana’s degraded landscapes.",,,,No,Yes ,No,Yes,,ngo,WORLD VISION GHANA,Upper East Region,"GARU TEMPANE, BAWKU WEST AND MION",,Completed,2017,2022,Evergreen Inception Report_25June.pdf (worldagroforestry.org),Land management ,"Project Manager, World Vision Ghana - Edward Akunyagra",Edward_Akunyagra@wvi.org,TREES/ LAND,GHANA,,,,Yes,"Increasing the tree coverage and better management of the project area: 90,000 hectares of land.  Providing new tree crops and promoting evergreen agricultures practices to smallholder farmers, ",,,,,,,,,Yes,"Training project stakeholders to acquire new knowledge, skills, tools and resources to effectively promote regreening practices.",,
P048,Northern Ghana Integrated Development Project (NGIDP),"The project intends to improve the resilience to climate change, promote sustainable employment opportunities, decent work and access to social protection schemes.",European Union,EU,sustainable development,No,Yes ,No,Yes,,ngo,ACTIONAID GHANA,Northern Region,,,Completed,2019,2023,The Northern Ghana Integrated Development Project (NGIDP) | URBANET (urbanetgh.org),,+233 (0) 24 431 6392 / +233 (0) 28 910 9560;,aaghana@actionaid.org,,"CivilSociety Organisations (CSOs) and networks of
Society Organisations (CSOs) and networks of
smallholder farmers.",,Yes,"Effective  biodiversity  preservation  and 
sustainable agricultural practices that contribute to the green economy
",,,,,,,,,,,Yes-,"Increased  income  levels  of  women  and  young  people through the processing of non timber forest products, agricultural value chain business and social enterprise",Yes,"Increased access to quality social protection schemes 
for people living in poverty in rural agrarian areas
"
P048,Northern Ghana Integrated Development Project (NGIDP),"The project intends to improve the resilience to climate change, promote sustainable employment opportunities, decent work and access to social protection schemes.",European Union,EU,sustainable development,No,Yes ,No,Yes,,ngo,ACTIONAID GHANA,Upper East Region,,,Completed,2019,2023,The Northern Ghana Integrated Development Project (NGIDP) | URBANET (urbanetgh.org),,+233 (0) 24 431 6392 / +233 (0) 28 910 9560;,aaghana@actionaid.org,,"CivilSociety Organisations (CSOs) and networks of
Society Organisations (CSOs) and networks of
smallholder farmers.",,Yes,"Effective  biodiversity  preservation  and 
sustainable agricultural practices that contribute to the green economy
",,,,,,,,,,,Yes-,"Increased  income  levels  of  women  and  young  people through the processing of non timber forest products, agricultural value chain business and social enterprise",Yes,"Increased access to quality social protection schemes 
for people living in poverty in rural agrarian areas
"
P048,Northern Ghana Integrated Development Project (NGIDP),"The project intends to improve the resilience to climate change, promote sustainable employment opportunities, decent work and access to social protection schemes.",European Union,EU,sustainable development,No,Yes ,No,Yes,,ngo,ACTIONAID GHANA,Upper West Region,,,Completed,2019,2023,The Northern Ghana Integrated Development Project (NGIDP) | URBANET (urbanetgh.org),,+233 (0) 24 431 6392 / +233 (0) 28 910 9560;,aaghana@actionaid.org,,"CivilSociety Organisations (CSOs) and networks of
Society Organisations (CSOs) and networks of
smallholder farmers.",,Yes,"Effective  biodiversity  preservation  and 
sustainable agricultural practices that contribute to the green economy
",,,,,,,,,,,Yes-,"Increased  income  levels  of  women  and  young  people through the processing of non timber forest products, agricultural value chain business and social enterprise",Yes,"Increased access to quality social protection schemes 
for people living in poverty in rural agrarian areas
"
P049,Sustainable Livelihoods Project,"The project “Sustainable Livelihoods” aims to contribute at reducing the economic, social and climate change-related vulnerability of rural communities living in Ghana’s savannah ecosystem region.",,,"sustainable development ; cashew, honey",Yes ,Yes ,No,Yes,,ngo,CISS - COOPERAZIONE INTERNAZIONALE SUD SUD,SAVANNAH ECOLOGICAL ZONES,,,Completed,2019,2023,,,Mauro Bartolomeo,m.bartolomeo@cissong.org,"cashew, honey",,,,,,,,,,,,,,,,,,
P050,Savannah Integrated Biodiversity Conservation Initiative (SIBCI),"The project’s long-term goal is to contribute to the achievement of endogenous, sustainable and inclusive economic development that responds to the challenges of climate change. In the mediumterm, the objective is to improve sustainable, participatory and integrated management of the Mole National Park (MNP) towards biodiversity conservation and resilience to climate change.","Partnership for Sustainable development, European Union, COSPE onlus, Ghana Wildlife Society Forestry Commission, University for Development Studies"," PSD, EU, COSPE, UDS",,Yes ,Yes ,No,Yes,,government,COSPE onlus; GHANA WILDLIFE SOCIETY; FORESTRY COMMISSION,Savannah Region,West Gonja,,Completed,2020,2023,Savannah Integrated Biodiversity Conservation Initiative (SIBCI) – (NDF) (ndfwestafrica.org),,Eric Lartey – Director,elartey@ghanawildlifesociety.org,green,peripheral communities,,No,,No,,No,,No,,No,,No,,No,,No,
P051,"""FAR BAN BO"" PROTECTING FISHERIES LIVELIHOODS","The project contributes to sustainable fisheries resources management to improve food security, nutrition and livelihoods of smallholder fishers and other users of fishery resources in selected districts of the Western, Central, Greater Accra, and Volta regions","Partnership for Sustainable Development, CARE DENMARK, European Union, Friends of the Nation, OXFAM GB LBG","PSD, EU, FoN, ",Aquaculture,Yes ,No,No,Yes,,ngo,CARE DENMARK,Western Region,,,Completed,2017,2021,,,Kwame Mensah,kwame.mensah@care.org,economic activities,,,Yes,"Laws, Tenure rights",No,,No,,No,,No,,No,,No,,No,
P051,"""FAR BAN BO"" PROTECTING FISHERIES LIVELIHOODS","The project contributes to sustainable fisheries resources management to improve food security, nutrition and livelihoods of smallholder fishers and other users of fishery resources in selected districts of the Western, Central, Greater Accra, and Volta regions","Partnership for Sustainable Development, CARE DENMARK, European Union, Friends of the Nation, OXFAM GB LBG","PSD, EU, FoN, ",Aquaculture,Yes ,No,No,Yes,,ngo,CARE DENMARK,Central Region,,,Completed,2017,2021,,,Kwame Mensah,kwame.mensah@care.org,economic activities,,,Yes,"Laws, Tenure rights",No,,No,,No,,No,,No,,No,,No,
P051,"""FAR BAN BO"" PROTECTING FISHERIES LIVELIHOODS","The project contributes to sustainable fisheries resources management to improve food security, nutrition and livelihoods of smallholder fishers and other users of fishery resources in selected districts of the Western, Central, Greater Accra, and Volta regions","Partnership for Sustainable Development, CARE DENMARK, European Union, Friends of the Nation, OXFAM GB LBG","PSD, EU, FoN, ",Aquaculture,Yes ,No,No,Yes,,ngo,CARE DENMARK,Greater Accra,,,Completed,2017,2021,,,Kwame Mensah,kwame.mensah@care.org,economic activities,,,Yes,"Laws, Tenure rights",No,,No,,No,,No,,No,,No,,No,
P051,"""FAR BAN BO"" PROTECTING FISHERIES LIVELIHOODS","The project contributes to sustainable fisheries resources management to improve food security, nutrition and livelihoods of smallholder fishers and other users of fishery resources in selected districts of the Western, Central, Greater Accra, and Volta regions","Partnership for Sustainable Development, CARE DENMARK, European Union, Friends of the Nation, OXFAM GB LBG","PSD, EU, FoN, ",Aquaculture,Yes ,No,No,Yes,,ngo,CARE DENMARK,Volta Region,,,Completed,2017,2021,,,Kwame Mensah,kwame.mensah@care.org,economic activities,,,Yes,"Laws, Tenure rights",No,,No,,No,,No,,No,,No,,No,
P052,Productive Investments for Sustainable Agriculture Development in the Northern Savannah Ecological Zone of Ghana,"The Savannah Investment Programme is considered an instrument to implement the Rearing for Food and Jobs to address key constraints in the livestock industry. The constraints include but not limited to Commercial production of soyabean and maize; Poultry value chain, and Small ruminants value chain. Northern Savannah Ecological Zone (NSEZ constitutes the poorest part of the country with respect to the national average poverty rate. The zone is characterized with relatively more challenging agro-ecological conditions, low socio-economic indicators and historical neglect in public investments in infrastructure and services. Development of this zone has been discussed as a national imperative for Ghana’s balance of payments, macro-economic stability, econom","Partnership for Sustainable development, European Union, Ministry of Food and Agriculture, AGENCE FRANÇAISE DE DÉVELOPPEMENT, THE AFRICA INVESTMENT FACILITY, THE WORLD BANK","PDS. EU, AfIF,",livestock industry,Yes ,No,No,Yes,,government,MINISTRY OF FOOD AND AGRICULTURE,,,,Ongoing,2018,2025,,"Seed diverstification, irrigation, livestock production, water management",nil,delegation-ghana@eeas.europa.eu,diversified food.,smallholder farmers,,No,,No,,No,,Yes,"Seed capital; loans, grant",Yes,Loans,Yes,"Irrigation system, solar infrastructure",No,,No,
P053,ARCHIPELAGO project: Horticulture in Ghana for a brighter future,"The project is financed by the ARCHIPELAGO programme within the framework of the European Emergency Trust Fund (EUTF) for Africa whose main objective is to improve the employability of youth through targeted technical and vocational training services and strengthen the Micro, Small and Medium Enterprises (MSMEs) in 12 countries in the Sahel and Lake Chad region (Burkina Faso, Cameroon, Chad, Gambia, Ghana, Guinea, Ivory Coast, Mali, Mauritania, Niger, Nigeria, Senegal)","Partnership for Growth, European Emergency Trust Fund, European Union, DELFT UNIVERSITY OF TECHNOLOGY – THE NETHERLANDS, Kwadaso Agricultural College, Kumasi, Ghana","EU, EUTF ",technical and vocaitional training,No,No,No,Yes,,government,"KWADASO AGRICULTURAL COLLEGE, DELFT UNIVERSITY OF TECHNOLOGY – THE NETHERLANDS",,Kwadaso,,Completed,2020,2022,,"Multi purpose tree planting, seed diverstification","Mrs. Lindsey Schwidder, project director",l.s.schwidder@tudelft.nl,horticulture,3000 direct beneficiaries,,No,,No,,No,,No,,No,,No,,Yes,Vocational training approach,No,
P054,LANDSCAPES AND ENVIRONMENTAL AGILITY ACROSS THE NATION (LEAN),"The overall objective of this action is to optimise the contribution of land to agriculture, food security, climate change mitigation and adaptation, and the preservation of ecosystems and of the essential services, they provide.",,,landscale,Yes,Yes ,No,Yes,,ngo,"Rainforest Alliance, Tropenbos International Ghana, EcoCare Ghana & World Vision",nil,nil,,Ongoing,2021,2025,,,Kwame Mensah,cmensah@ra.org,,"smallholder farmers and youth,",,,,,,,,,,,,,,,,,
P055,Nkoranza North Mushroom Production and Agribusiness Development,"A four-year project targeted to improve mushroom production is expected to create new jobs for 1,300 people – 390 women, 858 youth and 52 people with disabilities to enhance local economic growth and development in the Nkoranza North District of the newly- created Bono East Region. The Africa Centre for Development Finance (ACDF), Centre for Posterity Interest Organisation (COPIO) and Community Youth Development Foundation (CYDF), non-governmental organisations (NGOs) are the EU’s local project implementation partners supporting initiatives towards basic infrastructural development steps comprising of a modern agribusiness incubation centre, spawn laboratory and mushroo",,,infrastructural development,Yes ,No,Yes,Yes,,government,"NKORANZA NORTH DISTRICT ASSEMBLY (NNDA),",Bono East Region,NORTH NKORANZA,,Completed,2019,2023,,,nil,Delegation-ghana@eeas.europa.eu,mushroom,"1,300 people – 390 women, 858 youth and 52 people with disabilities",,,,,,,,,,,,,,,,,
